locus_tag	ftype	gene	EC_number	product
OIGPGILK_00001	CDS			hypothetical protein
OIGPGILK_00001	gene			
OIGPGILK_00002	CDS	atsA_1	3.1.6.1	Arylsulfatase
OIGPGILK_00002	gene	atsA_1		
OIGPGILK_00003	CDS			hypothetical protein
OIGPGILK_00003	gene			
OIGPGILK_00004	CDS			hypothetical protein
OIGPGILK_00004	gene			
OIGPGILK_00005	CDS			hypothetical protein
OIGPGILK_00005	gene			
OIGPGILK_00006	CDS	sdpB		Sporulation-delaying protein SdpB
OIGPGILK_00006	gene	sdpB		
OIGPGILK_00007	CDS			hypothetical protein
OIGPGILK_00007	gene			
OIGPGILK_00008	CDS		5.1.1.21	Isoleucine 2-epimerase
OIGPGILK_00008	gene			
OIGPGILK_00009	CDS	queF	1.7.1.13	NADPH-dependent 7-cyano-7-deazaguanine reductase
OIGPGILK_00009	gene	queF		
OIGPGILK_00010	CDS	queE	4.3.99.3	7-carboxy-7-deazaguanine synthase
OIGPGILK_00010	gene	queE		
OIGPGILK_00011	CDS			hypothetical protein
OIGPGILK_00011	gene			
OIGPGILK_00012	CDS	puuD_1	3.5.1.94	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
OIGPGILK_00012	gene	puuD_1		
OIGPGILK_00013	CDS			hypothetical protein
OIGPGILK_00013	gene			
OIGPGILK_00014	CDS			hypothetical protein
OIGPGILK_00014	gene			
OIGPGILK_00015	CDS	fhaA		FHA domain-containing protein FhaA
OIGPGILK_00015	gene	fhaA		
OIGPGILK_00016	CDS			hypothetical protein
OIGPGILK_00016	gene			
OIGPGILK_00017	CDS	prc	3.4.21.102	Tail-specific protease
OIGPGILK_00017	gene	prc		
OIGPGILK_00018	CDS			hypothetical protein
OIGPGILK_00018	gene			
OIGPGILK_00019	CDS	lolD	3.6.3.-	Lipoprotein-releasing system ATP-binding protein LolD
OIGPGILK_00019	gene	lolD		
OIGPGILK_00020	CDS			hypothetical protein
OIGPGILK_00020	gene			
OIGPGILK_00021	CDS			hypothetical protein
OIGPGILK_00021	gene			
OIGPGILK_00022	CDS	pknD_1	2.7.11.1	Serine/threonine-protein kinase PknD
OIGPGILK_00022	gene	pknD_1		
OIGPGILK_00023	CDS			hypothetical protein
OIGPGILK_00023	gene			
OIGPGILK_00024	CDS			hypothetical protein
OIGPGILK_00024	gene			
OIGPGILK_00025	CDS	pbpE		Penicillin-binding protein 4*
OIGPGILK_00025	gene	pbpE		
OIGPGILK_00026	CDS			hypothetical protein
OIGPGILK_00026	gene			
OIGPGILK_00027	CDS			hypothetical protein
OIGPGILK_00027	gene			
OIGPGILK_00028	CDS	crcB		Putative fluoride ion transporter CrcB
OIGPGILK_00028	gene	crcB		
OIGPGILK_00029	CDS	uvrA		UvrABC system protein A
OIGPGILK_00029	gene	uvrA		
OIGPGILK_00030	CDS	bamB_1		Outer membrane protein assembly factor BamB
OIGPGILK_00030	gene	bamB_1		
OIGPGILK_00031	CDS			hypothetical protein
OIGPGILK_00031	gene			
OIGPGILK_00032	CDS			hypothetical protein
OIGPGILK_00032	gene			
OIGPGILK_00033	CDS			hypothetical protein
OIGPGILK_00033	gene			
OIGPGILK_00034	CDS			hypothetical protein
OIGPGILK_00034	gene			
OIGPGILK_00035	CDS			hypothetical protein
OIGPGILK_00035	gene			
OIGPGILK_00036	CDS			hypothetical protein
OIGPGILK_00036	gene			
OIGPGILK_00037	CDS			hypothetical protein
OIGPGILK_00037	gene			
OIGPGILK_00038	CDS			hypothetical protein
OIGPGILK_00038	gene			
OIGPGILK_00039	CDS	pepT_1	3.4.11.4	Peptidase T
OIGPGILK_00039	gene	pepT_1		
OIGPGILK_00040	CDS			hypothetical protein
OIGPGILK_00040	gene			
OIGPGILK_00041	CDS			hypothetical protein
OIGPGILK_00041	gene			
